employee_id,first_name,last_name,gender,pronouns,age,birth_date,department,business_unit,job_level,job_title,location,manager_id,base_salary,bonus_eligible,bonus_pct,equity_grant,equity_pct,employment_type,employment_status,hire_date,termination_date,ethnicity,marital_status,education_level,pay_frequency,veteran_status,disability_status,cost_center,fte,exemption_status,high_potential_flag,succession_plan_status,aihr_certified,training_count,last_training_date,promotion_count,last_promotion_date,snapshot_date,tenure_months,performance_rating,current_salary,engagement_score,risk_of_exit_score
11,Riley,Davis,Male,she/her,36,1984-02-29,HR,Corporate,3,VP,"New York, NY",,79205,False,0.0,False,0.0,Part-time,Terminated,2020-02-29,2025-01-29,White,Married,Bachelor,Monthly,False,False,CC1013,0.8,Exempt,False,Not in plan,False,1,2020-09-29,0,,2021-04-30,14,2.87,81400,57.93333842712189,0.3672744003938953
15,Taylor,Jones,Female,she/her,25,1996-04-30,Sales,Commercial,1,Senior Director,"San Francisco, CA",,95321,True,0.152,True,0.0387,Full-time,Active,2021-04-30,,Hispanic,Married,Bachelor,Monthly,False,False,CC1012,0.5,Non-exempt,True,In plan,False,2,2021-12-30,0,,2021-04-30,0,2.85,95321,64.79663121601226,0.32689431139949787
16,Alex,Williams,Male,he/him,29,1992-02-28,Support,Tech,3,Analyst,"Seattle, WA",,72552,False,0.0,True,0.044,Full-time,Terminated,2021-02-28,2024-09-28,White,Single,Bachelor,Monthly,False,False,CC1008,0.8,Exempt,False,Not in plan,False,1,2021-12-28,0,,2021-04-30,2,2.94,72552,61.14682858118223,0.35428801021194856
17,Morgan,Jones,Male,he/him,42,1978-02-28,Customer Success,Commercial,3,Director,Remote,,75541,False,0.0,False,0.0,Full-time,Terminated,2020-02-29,2024-06-29,White,Married,Bachelor,Monthly,False,False,CC1011,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,14,2.93,78216,69.75652541045636,0.33648247434341233
18,Jordan,Wilson,Male,she/her,37,1983-08-30,Product,Tech,3,Analyst,Remote,,93920,False,0.0,True,0.0439,Full-time,Active,2020-08-30,,White,Married,Bachelor,Monthly,False,False,CC1002,1.0,Exempt,False,Not in plan,False,3,2020-11-30,0,,2021-04-30,8,2.66,93920,57.125483919518814,0.4750923017660862
19,Robin,Smith,Male,she/her,43,1977-04-30,Operations,Corporate,3,VP,Remote,,67995,False,0.0,False,0.0,Full-time,Active,2020-04-30,,White,Divorced,Bachelor,Monthly,False,False,CC1000,1.0,Exempt,False,Not in plan,False,0,,1,2021-04-30,2021-04-30,12,3.26,70200,62.028083619038675,0.4235789487356628
20,Drew,Garcia,Male,he/him,27,1993-05-30,Finance,Corporate,1,Senior Manager,"Austin, TX",,80825,True,0.196,False,0.0,Full-time,Active,2020-05-30,,White,Single,Master,Monthly,False,False,CC1013,1.0,Non-exempt,False,Not in plan,False,2,2020-07-30,0,,2021-04-30,11,2.96,80825,54.04450368760466,0.442608818297746
21,Morgan,Davis,Male,she/her,36,1984-04-30,Sales,Commercial,3,Analyst,Remote,,89875,False,0.0,False,0.0,Full-time,Terminated,2020-04-30,2022-09-30,Asian,Single,Associate,Monthly,False,False,CC1004,0.5,Exempt,False,Not in plan,False,2,2021-01-30,0,,2021-04-30,12,2.54,91933,43.280482160601814,0.5085029548586047
22,Alex,Williams,Male,he/him,36,1984-03-30,Engineering,Tech,1,VP,"Seattle, WA",,125932,False,0.0,True,0.0568,Part-time,Active,2020-03-30,,White,Married,Master,Monthly,False,False,CC1014,1.0,Non-exempt,False,Not in plan,False,4,2020-05-30,0,,2021-04-30,13,3.24,130924,64.21756774788989,0.3600483437226508
23,Taylor,Johnson,Male,she/her,30,1990-02-28,Finance,Corporate,3,Director,"Seattle, WA",,96342,False,0.0,False,0.0,Full-time,Terminated,2020-02-29,2021-05-29,Hispanic,Single,Bachelor,Monthly,False,False,CC1010,1.0,Exempt,True,In plan,False,0,,0,,2021-04-30,14,3.52,99854,77.44075169449847,0.24421738141371124
25,Alex,Wilson,Female,he/him,35,1985-01-30,Marketing,Commercial,4,Senior Director,"Seattle, WA",,80285,False,0.0,True,0.0773,Full-time,Terminated,2020-01-30,2021-06-30,Black,Married,Master,Monthly,False,False,CC1012,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,15,3.25,82573,60.62887399237681,0.382410245485065
26,Morgan,Wilson,Female,she/her,34,1985-06-30,Engineering,Tech,1,Analyst,"Seattle, WA",,109499,False,0.0,True,0.0178,Full-time,Terminated,2019-06-30,2021-07-30,White,Married,Bachelor,Monthly,False,False,CC1005,0.8,Non-exempt,False,Not in plan,False,1,2020-03-30,0,,2021-04-30,22,3.16,113225,64.67062297414402,0.409988187375375
27,Morgan,Miller,Male,he/him,42,1979-04-30,Engineering,Tech,3,VP,Remote,,119504,True,0.053,True,0.0998,Part-time,Terminated,2021-04-30,2023-07-30,White,Divorced,High School,Monthly,False,False,CC1005,1.0,Exempt,False,Not in plan,False,1,2021-09-30,0,,2021-04-30,0,3.01,119504,59.29649158371969,0.4319460928140878
28,Drew,Miller,Female,he/him,35,1985-11-30,Customer Success,Commercial,3,Senior Director,"Austin, TX",,81962,True,0.122,True,0.0147,Full-time,Active,2020-11-30,,Hispanic,Single,PhD,Monthly,False,False,CC1000,1.0,Exempt,True,In plan,False,1,2021-02-28,0,,2021-04-30,5,3.36,81962,77.8153125071048,0.2222793718080184
29,Morgan,Johnson,Male,she/her,34,1985-12-30,Finance,Corporate,3,Manager,"Seattle, WA",,83676,False,0.0,True,0.0248,Full-time,Terminated,2019-12-30,2021-08-30,White,Married,Bachelor,Monthly,False,False,CC1007,1.0,Exempt,False,Not in plan,False,1,2020-01-30,0,,2021-04-30,16,2.31,86726,50.38612026433139,0.558698631378213
30,Alex,Davis,Female,he/him,35,1984-12-30,Sales,Commercial,1,Manager,"New York, NY",,76225,True,0.169,True,0.058,Part-time,Active,2019-12-30,,White,Single,Bachelor,Monthly,False,False,CC1003,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,16,3.49,77833,70.87003080425922,0.327572283897828
31,Casey,Garcia,Female,she/her,26,1994-11-30,Sales,Commercial,3,Manager,"Seattle, WA",,116785,True,0.131,True,0.0411,Full-time,Terminated,2020-11-30,2021-06-30,White,Married,Bachelor,Monthly,False,False,CC1011,0.5,Exempt,False,Not in plan,False,0,,0,,2021-04-30,5,3.21,116785,60.86339319700495,0.3671007135041228
32,Casey,Brown,Female,he/him,42,1978-09-30,Sales,Commercial,1,Manager,"Seattle, WA",,96051,False,0.0,False,0.0,Full-time,Terminated,2020-09-30,2021-10-30,Hispanic,Widowed,Master,Monthly,False,False,CC1018,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,7,2.7,96051,44.360555960997644,0.5760720145797887
33,Robin,Jones,Female,he/him,41,1978-09-30,Support,Tech,2,Manager,"Seattle, WA",,63392,False,0.0,True,0.0507,Full-time,Terminated,2019-09-30,2024-07-30,Hispanic,Married,Bachelor,Monthly,False,False,CC1010,1.0,Exempt,True,In plan,False,0,,0,,2021-04-30,19,2.81,64469,59.111850628633455,0.34907414224079175
34,Robin,Smith,Female,she/her,24,1995-09-30,Sales,Commercial,1,Senior Director,"Seattle, WA",,91340,True,0.185,True,0.0272,Full-time,Active,2019-09-30,,White,Married,Associate,Monthly,False,False,CC1001,1.0,Non-exempt,False,Not in plan,False,1,2020-05-30,0,,2021-04-30,19,2.4,95465,54.17290584785246,0.46139233595264795
35,Jamie,Williams,Male,he/him,26,1993-06-30,Engineering,Tech,1,Senior Analyst,Remote,,141027,False,0.0,True,0.0328,Full-time,Active,2019-06-30,,White,Married,Bachelor,Monthly,False,False,CC1014,0.8,Non-exempt,False,Not in plan,False,4,2020-01-30,0,,2021-04-30,22,3.05,144839,55.05122737610334,0.4668707190279335
36,Jordan,Davis,Female,she/her,36,1984-01-30,Customer Success,Commercial,4,Director,"New York, NY",,76090,False,0.0,True,0.0631,Full-time,Active,2020-01-30,,White,Married,Bachelor,Monthly,False,False,CC1019,0.5,Exempt,False,Not in plan,False,2,2020-02-29,0,,2021-04-30,15,3.31,78918,68.87312986956853,0.2907311327300748
37,Taylor,Smith,Male,she/her,24,1995-11-30,Engineering,Tech,3,Senior Manager,"San Francisco, CA",,128919,False,0.0,True,0.0715,Full-time,Active,2019-11-30,,White,Married,Bachelor,Monthly,False,False,CC1005,0.8,Exempt,False,Not in plan,True,0,,0,,2021-04-30,17,3.83,136132,82.055441540196,0.16894683625095938
38,Cameron,Johnson,Female,she/her,22,1998-11-30,Marketing,Commercial,1,Senior Manager,Remote,,69763,True,0.064,True,0.0161,Full-time,Active,2020-11-30,,Asian,Divorced,Bachelor,Monthly,False,False,CC1014,0.5,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,5,3.17,69763,61.91462592649914,0.3889900849934078
39,Casey,Williams,Female,he/him,51,1969-02-28,Sales,Commercial,3,Director,"New York, NY",,89135,True,0.112,True,0.0638,Full-time,Active,2020-02-29,,Hispanic,Single,High School,Monthly,False,True,CC1011,1.0,Exempt,True,In plan,False,0,,0,,2021-04-30,14,3.12,93831,60.18727121054848,0.40591942029423905
40,Robin,Davis,Female,he/him,42,1978-07-30,Customer Success,Commercial,2,Analyst,Remote,,74823,False,0.0,True,0.0146,Full-time,Active,2020-07-30,,Hispanic,Married,PhD,Monthly,False,False,CC1006,1.0,Exempt,False,Not in plan,False,4,2021-02-28,0,,2021-04-30,9,3.22,74823,63.397947317585235,0.38235890194966876
41,Jordan,Wilson,Female,she/her,40,1981-02-28,Marketing,Commercial,3,Manager,"New York, NY",,63904,False,0.0,True,0.0384,Full-time,Terminated,2021-02-28,2022-03-28,White,Single,Bachelor,Monthly,False,False,CC1001,1.0,Exempt,False,Not in plan,True,3,2021-09-28,0,,2021-04-30,2,3.59,63904,78.98043302637996,0.21657532218779713
42,Casey,Smith,Male,he/him,40,1980-03-30,Operations,Corporate,3,Analyst,"New York, NY",,72197,False,0.0,True,0.0103,Full-time,Active,2020-03-30,,Black,Married,Bachelor,Monthly,False,False,CC1013,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,13,4.22,74477,86.76731144934297,0.11564530878218822
43,Morgan,Miller,Non-binary,she/her,39,1981-12-30,Operations,Corporate,3,Senior Manager,"New York, NY",,71453,False,0.0,True,0.0647,Full-time,Terminated,2020-12-30,2024-04-30,Black,Single,Bachelor,Monthly,False,False,CC1005,0.8,Exempt,False,Not in plan,False,1,2021-01-30,0,,2021-04-30,4,3.14,71453,66.6797905450045,0.3283297619694083
44,Taylor,Johnson,Female,ze/zir,33,1987-07-30,Finance,Corporate,3,Analyst,"Austin, TX",,93035,False,0.0,True,0.089,Full-time,Terminated,2020-07-30,2024-07-30,Hispanic,Married,PhD,Monthly,False,False,CC1007,0.5,Exempt,False,Not in plan,False,0,,0,,2021-04-30,9,1.88,93035,31.808057994103592,0.655388013598098
45,Cameron,Jones,Male,she/her,40,1980-11-30,Finance,Corporate,2,Manager,Remote,,85305,False,0.0,True,0.0881,Full-time,Active,2020-11-30,,Hispanic,Single,Bachelor,Monthly,False,False,CC1003,1.0,Exempt,False,Not in plan,False,2,2021-06-30,0,,2021-04-30,5,2.7,85305,53.3848776663824,0.42491832013076714
46,Drew,Jones,Female,he/him,36,1984-07-30,Marketing,Commercial,1,Director,"Seattle, WA",,83203,False,0.0,True,0.0334,Full-time,Terminated,2020-07-30,2021-06-30,White,Married,Associate,Monthly,False,False,CC1001,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,9,3.09,83203,52.14741301788839,0.47748150037837755
47,Casey,Brown,Male,he/him,31,1990-01-30,Finance,Corporate,1,Senior Analyst,"San Francisco, CA",,86484,False,0.0,False,0.0,Full-time,Terminated,2021-01-30,2024-01-30,Asian,Married,Bachelor,Monthly,False,False,CC1000,1.0,Non-exempt,False,Not in plan,False,1,2021-03-30,0,,2021-04-30,3,3.45,86484,66.39237629229383,0.3450596171987045
48,Alex,Williams,Male,he/him,38,1983-01-30,Engineering,Tech,1,Senior Director,"New York, NY",,131847,True,0.18,False,0.0,Full-time,Terminated,2021-01-30,2021-06-30,White,Divorced,Master,Monthly,False,False,CC1004,0.5,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,3,3.17,131847,69.50718934261589,0.3288832537123112
49,Alex,Rodriguez,Female,she/her,51,1970-02-28,Engineering,Tech,1,Director,"Seattle, WA",,100123,False,0.0,False,0.0,Full-time,Active,2021-02-28,,White,Single,High School,Monthly,False,False,CC1013,1.0,Non-exempt,True,In plan,False,1,2021-11-28,0,,2021-04-30,2,3.59,100123,63.919996897994864,0.37572937537595313
50,Robin,Miller,Female,he/him,29,1991-11-30,Marketing,Commercial,1,Senior Analyst,"Seattle, WA",,87966,False,0.0,False,0.0,Full-time,Terminated,2020-11-30,2021-09-30,White,Married,PhD,Monthly,False,False,CC1018,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,5,3.0,87966,57.33700428471364,0.47558662260397017
51,Riley,Miller,Male,he/him,34,1986-01-30,Product,Tech,1,Director,"San Francisco, CA",,101414,True,0.07,True,0.0721,Full-time,Terminated,2020-01-30,2022-01-30,Black,Single,Associate,Monthly,False,False,CC1005,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,15,3.03,105483,50.5212498054119,0.49703080734452765
52,Cameron,Garcia,Female,she/her,41,1979-05-30,Engineering,Tech,3,Senior Manager,"Austin, TX",,113577,False,0.0,True,0.0137,Full-time,Active,2020-05-30,,Asian,Married,Bachelor,Monthly,False,False,CC1018,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,11,2.31,113577,47.421882042166835,0.5118215040280992
53,Morgan,Davis,Male,he/him,37,1982-06-30,Marketing,Commercial,1,Manager,"Seattle, WA",,64020,True,0.055,True,0.0516,Part-time,Terminated,2019-06-30,2023-12-30,White,Married,Bachelor,Monthly,False,False,CC1019,1.0,Non-exempt,False,Not in plan,False,1,2019-08-30,0,,2021-04-30,22,3.08,66651,63.255542106317954,0.3453076288832712
54,Jordan,Johnson,Female,she/her,25,1996-01-30,Marketing,Commercial,3,Analyst,"San Francisco, CA",,67609,False,0.0,False,0.0,Full-time,Terminated,2021-01-30,2022-01-30,Black,Divorced,Bachelor,Monthly,False,False,CC1014,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,3,3.44,67609,70.22427427224554,0.2929980264962516
55,Robin,Rodriguez,Male,she/her,34,1985-12-30,Finance,Corporate,1,VP,"Austin, TX",,84202,False,0.0,True,0.0253,Full-time,Terminated,2019-12-30,2023-04-30,Asian,Married,Bachelor,Monthly,False,False,CC1000,1.0,Non-exempt,False,Not in plan,False,1,2020-05-30,0,,2021-04-30,16,2.86,87665,57.92436060896898,0.415595672499868
57,Jamie,Miller,Male,he/him,41,1978-11-30,Engineering,Tech,2,Senior Analyst,"San Francisco, CA",,107521,False,0.0,True,0.0311,Contractor,Terminated,2019-11-30,2021-05-30,Black,Married,PhD,Monthly,False,True,CC1017,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,17,3.17,110850,69.87901365479458,0.28137105248807365
59,Cameron,Miller,Female,he/him,43,1978-04-30,Finance,Corporate,1,Director,"Austin, TX",,98484,False,0.0,True,0.0305,Full-time,Terminated,2021-04-30,2025-03-30,White,Married,Bachelor,Monthly,False,False,CC1007,1.0,Non-exempt,False,Not in plan,True,0,,0,,2021-04-30,0,2.69,98484,54.654566802951024,0.4690418168010402
60,Morgan,Johnson,Female,he/him,22,1998-05-30,Marketing,Commercial,3,Senior Manager,Remote,,75735,True,0.079,True,0.0683,Part-time,Active,2020-05-30,,Black,Divorced,Associate,Monthly,False,False,CC1001,1.0,Exempt,False,Not in plan,False,2,2021-01-30,0,,2021-04-30,11,3.4,75735,70.96814325750832,0.25498335782620807
61,Drew,Brown,Female,he/him,26,1994-01-30,Product,Tech,3,VP,"Seattle, WA",,110694,True,0.135,True,0.0967,Full-time,Active,2020-01-30,,White,Married,High School,Monthly,False,False,CC1008,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,15,3.16,114847,50.07718632674007,0.5810479721591366
62,Cameron,Garcia,Male,he/him,28,1992-07-30,Product,Tech,2,Senior Analyst,Remote,,119844,False,0.0,True,0.0482,Full-time,Active,2020-07-30,,Black,Married,Bachelor,Monthly,False,False,CC1004,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,9,2.58,119844,64.9518765837455,0.3548277741844579
63,Robin,Rodriguez,Non-binary,he/him,28,1992-03-30,Sales,Commercial,3,Analyst,"San Francisco, CA",,104752,True,0.173,True,0.0404,Contractor,Terminated,2020-03-30,2021-09-30,White,Single,Bachelor,Monthly,False,False,CC1000,1.0,Exempt,False,Not in plan,False,1,2020-08-30,0,,2021-04-30,13,2.3,108887,52.09049427294062,0.4893119231047887
64,Morgan,Garcia,Female,she/her,22,1998-05-30,Sales,Commercial,2,VP,"New York, NY",,93366,True,0.199,True,0.04,Full-time,Terminated,2020-05-30,2023-03-30,Hispanic,Divorced,Bachelor,Monthly,False,False,CC1009,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,11,3.11,93366,62.6406783821874,0.31055375270830327
65,Cameron,Brown,Male,he/him,28,1992-05-30,HR,Corporate,1,Senior Director,"San Francisco, CA",,80919,False,0.0,True,0.0843,Full-time,Active,2020-05-30,,White,Single,Bachelor,Monthly,False,False,CC1001,0.5,Non-exempt,False,Not in plan,False,1,2020-09-30,0,,2021-04-30,11,2.62,80919,54.95102275002364,0.468916327894111
67,Casey,Williams,Female,she/her,28,1992-03-30,Marketing,Commercial,2,VP,Remote,,82812,False,0.0,False,0.0,Full-time,Active,2020-03-30,,Asian,Married,Bachelor,Monthly,False,False,CC1010,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,13,2.52,86304,51.7989310829009,0.4783486031964631
68,Jordan,Wilson,Male,she/her,38,1981-10-30,Sales,Commercial,2,Analyst,"San Francisco, CA",,102368,True,0.095,True,0.0723,Full-time,Terminated,2019-10-30,2024-04-30,White,Widowed,Master,Monthly,False,False,CC1019,1.0,Exempt,False,Not in plan,False,1,2020-01-30,0,,2021-04-30,18,2.51,106493,48.79477166607019,0.49161060675659046
69,Riley,Davis,Female,she/her,33,1987-10-30,Marketing,Commercial,1,VP,"Austin, TX",,78605,False,0.0,True,0.0657,Full-time,Active,2020-10-30,,White,Married,Bachelor,Monthly,False,True,CC1016,1.0,Non-exempt,False,Not in plan,False,1,2021-08-30,0,,2021-04-30,6,2.59,78605,48.83540542854992,0.5208283348104263
70,Jordan,Brown,Male,she/her,37,1984-01-30,Product,Tech,1,Senior Analyst,Remote,,123265,False,0.0,True,0.0384,Full-time,Terminated,2021-01-30,2023-08-30,Asian,Single,Master,Monthly,False,False,CC1010,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,3,2.93,123265,66.67383076490401,0.31985073159626715
71,Jamie,Garcia,Female,he/him,33,1986-12-30,Engineering,Tech,1,VP,"Seattle, WA",,123110,True,0.061,True,0.0961,Full-time,Terminated,2019-12-30,2022-10-30,Asian,Single,Bachelor,Monthly,False,False,CC1018,1.0,Non-exempt,True,In plan,False,1,2020-06-30,0,,2021-04-30,16,3.54,127255,74.04951332429468,0.24031849394663765
72,Alex,Garcia,Female,she/her,25,1995-02-28,Engineering,Tech,2,Senior Director,"San Francisco, CA",,113970,False,0.0,True,0.0906,Full-time,Active,2020-02-29,,Hispanic,Married,Associate,Monthly,False,False,CC1015,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,14,3.22,119312,73.48997626108059,0.29257501035508265
73,Jordan,Davis,Male,he/him,22,1998-09-30,Engineering,Tech,1,Senior Manager,"San Francisco, CA",,131691,True,0.183,True,0.0357,Full-time,Active,2020-09-30,,White,Married,Master,Monthly,False,False,CC1007,0.8,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,7,3.06,131691,66.58709830288889,0.2611228387775134
75,Taylor,Smith,Male,he/him,36,1984-12-30,Sales,Commercial,3,Senior Director,"Seattle, WA",,97351,True,0.103,True,0.0599,Full-time,Active,2020-12-30,,White,Single,Bachelor,Monthly,False,False,CC1019,1.0,Exempt,False,Not in plan,False,2,2021-04-30,0,,2021-04-30,4,2.5,97351,55.46433630866085,0.3842370300957096
78,Alex,Miller,Male,she/her,36,1984-06-30,Sales,Commercial,2,Manager,"New York, NY",,88671,True,0.122,True,0.0944,Full-time,Active,2020-06-30,,White,Single,Master,Monthly,False,False,CC1003,0.8,Exempt,False,Not in plan,False,0,,0,,2021-04-30,10,2.68,88671,55.08851289646614,0.3865372497993042
79,Cameron,Rodriguez,Female,he/him,33,1986-09-30,Sales,Commercial,1,Senior Manager,"Seattle, WA",,88166,False,0.0,True,0.0486,Full-time,Active,2019-09-30,,Black,Single,Master,Monthly,False,False,CC1010,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,19,2.53,90661,44.49500695697656,0.5573125163552968
80,Jordan,Garcia,Female,he/him,32,1988-02-29,Product,Tech,3,Senior Director,"Seattle, WA",,120193,False,0.0,True,0.0689,Full-time,Active,2020-02-29,,White,Married,PhD,Monthly,False,False,CC1008,1.0,Exempt,False,Not in plan,False,0,,0,,2021-04-30,14,2.38,125621,53.366675742603874,0.48076729416902547
81,Jamie,Smith,Female,he/him,37,1982-07-30,Engineering,Tech,3,Analyst,"Seattle, WA",,128317,True,0.177,True,0.0227,Full-time,Terminated,2019-07-30,2023-01-30,Black,Single,Master,Monthly,False,False,CC1011,1.0,Exempt,False,Not in plan,False,1,2019-08-30,0,,2021-04-30,21,3.91,130716,85.76414097696357,0.18131566169971713
83,Cameron,Rodriguez,Female,she/her,30,1990-09-30,Support,Tech,2,Senior Analyst,"Austin, TX",,73326,False,0.0,True,0.0652,Full-time,Active,2020-09-30,,White,Single,Bachelor,Monthly,False,True,CC1007,0.8,Exempt,False,Not in plan,False,1,2021-03-30,0,,2021-04-30,7,3.22,73326,61.64792361261121,0.365933110790828
84,Robin,Davis,Non-binary,he/him,26,1993-10-30,Product,Tech,2,VP,"San Francisco, CA",,114711,False,0.0,True,0.0126,Full-time,Terminated,2019-10-30,2022-02-28,Black,Single,PhD,Monthly,False,False,CC1005,1.0,Exempt,False,Not in plan,False,2,2020-03-30,0,,2021-04-30,18,2.97,118905,53.989490625801366,0.44993759458573523
85,Jordan,Miller,Female,he/him,37,1982-05-30,Product,Tech,1,Director,"Austin, TX",,100761,False,0.0,True,0.0272,Full-time,Terminated,2019-05-30,2023-03-30,Asian,Married,Bachelor,Monthly,False,False,CC1002,1.0,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,23,2.37,106400,58.99609624574362,0.3965677792969897
86,Jamie,Miller,Female,he/him,30,1989-05-30,Finance,Corporate,2,Analyst,"New York, NY",,91609,False,0.0,True,0.0787,Full-time,Terminated,2019-05-30,2023-12-30,White,Divorced,Bachelor,Monthly,False,False,CC1014,1.0,Exempt,False,Not in plan,False,1,2020-01-30,0,,2021-04-30,23,3.44,94552,63.349021808369656,0.3850130523107762
88,Cameron,Brown,Male,she/her,26,1995-04-30,Customer Success,Commercial,1,Senior Manager,Remote,,62525,False,0.0,True,0.0406,Contractor,Active,2021-04-30,,White,Married,Master,Monthly,False,False,CC1010,0.5,Non-exempt,False,Not in plan,False,0,,0,,2021-04-30,0,2.88,62525,53.9484522521443,0.49941498034220844
89,Morgan,Williams,Female,she/her,30,1989-09-30,Product,Tech,1,Analyst,"San Francisco, CA",,110304,False,0.0,True,0.092,Full-time,Terminated,2019-09-30,2023-07-30,Hispanic,Single,Bachelor,Monthly,False,False,CC1005,1.0,Non-exempt,False,Not in plan,False,1,2020-03-30,0,,2021-04-30,19,3.2,113760,73.12706961537287,0.2780889944621586
